Model,Training Size,Batch Size,Number of Inducing Points,Iteration,Training Time per Iteration (MilliSeconds),MSE
SVIGP,2000,100,50,0,13.719702363014221,0.08391667562874572
ParametricGP,2000,100,50,0,14.956041276454926,0.14786465027276335
SVIGP,2000,200,100,0,35.43622225522995,0.025860455678069244
ParametricGP,2000,200,100,0,20.210924446582794,0.02955647225226729
SVIGP,2000,300,150,0,130.76293855905533,0.005079901818313461
ParametricGP,2000,300,150,0,22.12238848209381,0.00578527492581274
SVIGP,2000,400,200,0,424.2364528775215,0.010715295243133546
ParametricGP,2000,400,200,0,25.761468708515167,0.058093993778214566
SVIGP,2000,500,250,0,789.2073258757591,0.0076799787240632005
ParametricGP,2000,500,250,0,28.188579082489014,0.01622063933616171
SVIGP,2000,600,300,0,1384.499638080597,0.008878501899027388
ParametricGP,2000,600,300,0,28.29623967409134,0.010845031076402438
